Trường đào tạo,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
QHF - Trường Đại Học Ngoại Ngữ - ĐH Quốc gia Hà Nội,7140237,Sư phạm tiếng Hàn Quốc,D01; D78; D90; DD2,37.31,
QHF - Trường Đại Học Ngoại Ngữ - ĐH Quốc gia Hà Nội,7220201,Ngôn ngữ Anh,D01; D78; D90; D14,36.99,
QHF - Trường Đại Học Ngoại Ngữ - ĐH Quốc gia Hà Nội,7220202,Ngôn ngữ Nga,D01; D78; D90; D02,34.24,
QHF - Trường Đại Học Ngoại Ngữ - ĐH Quốc gia Hà Nội,7220203,Ngôn ngữ Pháp,D01; D78; D90; D03,34.53,
QHF - Trường Đại Học Ngoại Ngữ - ĐH Quốc gia Hà Nội,7220204,Ngôn ngữ Trung Quốc,D01; D78; D90; D04,37,
QHF - Trường Đại Học Ngoại Ngữ - ĐH Quốc gia Hà Nội,7220205,Ngôn ngữ Đức,D01; D78; D90; D05,35.82,
QHF - Trường Đại Học Ngoại Ngữ - ĐH Quốc gia Hà Nội,7220209,Ngôn ngữ Nhật,D01; D78; D90; D06,35.4,
QHF - Trường Đại Học Ngoại Ngữ - ĐH Quốc gia Hà Nội,7220210,Ngôn ngữ Hàn Quốc,D01; D78; D90; DD2,36.38,
QHF - Trường Đại Học Ngoại Ngữ - ĐH Quốc gia Hà Nội,7220211,Ngôn ngữ Ả Rập,D01; D78; D90; D14,33.42,
QHF - Trường Đại Học Ngoại Ngữ - ĐH Quốc gia Hà Nội,7220212QTD,Văn hóa và truyền thông xuyên quốc gia,D01; D78; D90; D14,36.5,
QHF - Trường Đại Học Ngoại Ngữ - ĐH Quốc gia Hà Nội,7903124,Kinh tế - Tài chính,D01; A01; D78; D14,26.75,
HBT - Học viện Báo chí và Tuyên truyền,527,"Kinh tế, chuyên ngành Quản lý kinh tế",A16,25.51,
HBT - Học viện Báo chí và Tuyên truyền,527,"Kinh tế, chuyên ngành Quản lý kinh tế",C15,26.76,
HBT - Học viện Báo chí và Tuyên truyền,527,"Kinh tế, chuyên ngành Quản lý kinh tế",D01,26.26,
HBT - Học viện Báo chí và Tuyên truyền,527,"Kinh tế, chuyên ngành Quản lý kinh tế",A01,25.76,
HBT - Học viện Báo chí và Tuyên truyền,530,"Chính trị học, chuyên ngành Công tác tư tưởng - văn hóa",D01,25.52,
HBT - Học viện Báo chí và Tuyên truyền,530,"Chính trị học, chuyên ngành Công tác tư tưởng - văn hóa",A01,25.52,
HBT - Học viện Báo chí và Tuyên truyền,530,"Chính trị học, chuyên ngành Công tác tư tưởng - văn hóa",A16,25.52,
HBT - Học viện Báo chí và Tuyên truyền,530,"Chính trị học, chuyên ngành Công tác tư tưởng - văn hóa",C15,25.52,
HBT - Học viện Báo chí và Tuyên truyền,531,"Chính tri học, chuyên ngành Chính trị phát triển",C15,25.6,
HBT - Học viện Báo chí và Tuyên truyền,531,"Chính tri học, chuyên ngành Chính trị phát triển",D01,25.6,
HBT - Học viện Báo chí và Tuyên truyền,531,"Chính tri học, chuyên ngành Chính trị phát triển",A01,25.6,
HBT - Học viện Báo chí và Tuyên truyền,531,"Chính tri học, chuyên ngành Chính trị phát triển",A16,25.6,
HBT - Học viện Báo chí và Tuyên truyền,532,Quản lý nhà nước,D01,25.88,
HBT - Học viện Báo chí và Tuyên truyền,532,Quản lý nhà nước,AO1,25.88,
HBT - Học viện Báo chí và Tuyên truyền,532,Quản lý nhà nước,A16,25.88,
HBT - Học viện Báo chí và Tuyên truyền,532,Quản lý nhà nước,C15,25.88,
HBT - Học viện Báo chí và Tuyên truyền,533,"Chính trị học, chuyên ngành Tư tưởng Hồ Chí Minh",D01,25.45,
HBT - Học viện Báo chí và Tuyên truyền,533,"Chính trị học, chuyên ngành Tư tưởng Hồ Chí Minh",A01,25.45,
HBT - Học viện Báo chí và Tuyên truyền,533,"Chính trị học, chuyên ngành Tư tưởng Hồ Chí Minh",A16,25.45,
HBT - Học viện Báo chí và Tuyên truyền,533,"Chính trị học, chuyên ngành Tư tưởng Hồ Chí Minh",C15,25.45,
HBT - Học viện Báo chí và Tuyên truyền,538,"Chính tri học, chuyên ngành Truyền thông chính sách",A16,25.6,
HBT - Học viện Báo chí và Tuyên truyền,538,"Chính tri học, chuyên ngành Truyền thông chính sách",C15,26.35,
HBT - Học viện Báo chí và Tuyên truyền,538,"Chính tri học, chuyên ngành Truyền thông chính sách",D01,25.85,
HBT - Học viện Báo chí và Tuyên truyền,538,"Chính tri học, chuyên ngành Truyền thông chính sách",A01,25.6,
HBT - Học viện Báo chí và Tuyên truyền,602,"Báo chí, chuyên ngành Báo in",D01,35.48,
HBT - Học viện Báo chí và Tuyên truyền,602,"Báo chí, chuyên ngành Báo in",D72,34.98,
HBT - Học viện Báo chí và Tuyên truyền,602,"Báo chí, chuyên ngành Báo in",D78,36.48,
HBT - Học viện Báo chí và Tuyên truyền,603,"Báo chí, chuyên ngành Ảnh báo chí",D01,35.63,
HBT - Học viện Báo chí và Tuyên truyền,603,"Báo chí, chuyên ngành Ảnh báo chí",D72,35.13,
HBT - Học viện Báo chí và Tuyên truyền,603,"Báo chí, chuyên ngành Ảnh báo chí",D78,36.13,
HBT - Học viện Báo chí và Tuyên truyền,604,"Báo chí, chuyên ngành Báo phát thanh",D72,35.25,
HBT - Học viện Báo chí và Tuyên truyền,604,"Báo chí, chuyên ngành Báo phát thanh",D78,36.75,
HBT - Học viện Báo chí và Tuyên truyền,604,"Báo chí, chuyên ngành Báo phát thanh",D01,35.75,
HBT - Học viện Báo chí và Tuyên truyền,605,"Báo chí, chuyên ngành Báo truyền hình",D01,35.96,
HBT - Học viện Báo chí và Tuyên truyền,605,"Báo chí, chuyên ngành Báo truyền hình",D72,35.46,
HBT - Học viện Báo chí và Tuyên truyền,605,"Báo chí, chuyên ngành Báo truyền hình",D78,37.21,
HBT - Học viện Báo chí và Tuyên truyền,606,"Báo chí, chuyên ngành Quay phim truyền hình",D01,35.73,
HBT - Học viện Báo chí và Tuyên truyền,606,"Báo chí, chuyên ngành Quay phim truyền hình",D72,35.48,
HBT - Học viện Báo chí và Tuyên truyền,606,"Báo chí, chuyên ngành Quay phim truyền hình",D78,35.73,
HBT - Học viện Báo chí và Tuyên truyền,607,"Báo chí, chuyên ngành Báo mạng điện tử",D72,35.15,
HBT - Học viện Báo chí và Tuyên truyền,607,"Báo chí, chuyên ngành Báo mạng điện tử",D78,36.9,
HBT - Học viện Báo chí và Tuyên truyền,607,"Báo chí, chuyên ngành Báo mạng điện tử",D01,35.65,
HBT - Học viện Báo chí và Tuyên truyền,610,"Quan hệ quốc tế, chuyên ngành Thông tin đối ngoại",D01,35,
HBT - Học viện Báo chí và Tuyên truyền,610,"Quan hệ quốc tế, chuyên ngành Thông tin đối ngoại",A01,35,
HBT - Học viện Báo chí và Tuyên truyền,610,"Quan hệ quốc tế, chuyên ngành Thông tin đối ngoại",D72,34.5,
HBT - Học viện Báo chí và Tuyên truyền,610,"Quan hệ quốc tế, chuyên ngành Thông tin đối ngoại",D78,36,
